LCR	DESC	DATETIME	NO	LOCATION
71A	Traffic/DWI (Driving While Impaired)	11/30/2015 23:03	P15066895	"(35.81198264891772, -78.64374412197027)"
71A	Traffic/DWI (Driving While Impaired)	11/29/2015 16:40	P15066574	"(35.78481940352301, -78.6417950340009)"
71A	Traffic/DWI (Driving While Impaired)	11/29/2015 8:43	P15066507	"(35.82621684631962, -78.62161456222508)"
71A	Traffic/DWI (Driving While Impaired)	11/29/2015 5:48	P15066513	"(35.81513725968659, -78.73770447040624)"
71A	Traffic/DWI (Driving While Impaired)	11/29/2015 5:47	P15066497	"(35.806867609122165, -78.71293607273829)"
71A	Traffic/DWI (Driving While Impaired)	11/29/2015 4:55	P15066490	"(35.8566567014657, -78.55862358807556)"
71A	Traffic/DWI (Driving While Impaired)	11/29/2015 1:08	P15066473	"(35.84395148096631, -78.64441124859495)"
71A	Traffic/DWI (Driving While Impaired)	11/28/2015 22:48	P15066455	"(35.77001446582665, -78.6454122240373)"
71A	Traffic/DWI (Driving While Impaired)	11/28/2015 3:14	P15066332	"(35.78681213008946, -78.64525076801043)"
71A	Traffic/DWI (Driving While Impaired)	11/27/2015 2:47	P15066177	"(35.82819242210681, -78.62371039668898)"
71A	Traffic/DWI (Driving While Impaired)	11/27/2015 2:12	P15066169	"(35.79343780277051, -78.61184228065548)"
71A	Traffic/DWI (Driving While Impaired)	11/26/2015 19:31	P15066132	"(35.8716306135307, -78.58048414868476)"
71A	Traffic/DWI (Driving While Impaired)	11/26/2015 4:01	P15066087	"(35.74009828852134, -78.56868235810778)"
71A	Traffic/DWI (Driving While Impaired)	11/26/2015 3:11	P15066077	"(35.78726998198551, -78.58978045823956)"
71A	Traffic/DWI (Driving While Impaired)	11/26/2015 3:08	P15066079	"(35.94617201550016, -78.53869698829955)"
71A	Traffic/DWI (Driving While Impaired)	11/26/2015 2:36	P15066076	"(35.756904268729755, -78.61129235842687)"
71A	Traffic/DWI (Driving While Impaired)	11/24/2015 16:05	P15065779	"(35.7844408163885, -78.70312617673363)"
71A	Traffic/DWI (Driving While Impaired)	11/24/2015 12:38	P15065742	"(35.732115333378175, -78.6503673586972)"
71A	Traffic/DWI (Driving While Impaired)	11/22/2015 19:36	P15065429	"(35.84548735619813, -78.60943941395105)"
71A	Traffic/DWI (Driving While Impaired)	11/22/2015 18:27	P15065444	"(35.826070716080814, -78.7061947613733)"
71A	Traffic/DWI (Driving While Impaired)	11/22/2015 5:25	P15065328	"(35.83465588574854, -78.61572449156156)"
71A	Traffic/DWI (Driving While Impaired)	11/22/2015 5:20	P15065327	"(35.786686188500994, -78.58643834112937)"
71A	Traffic/DWI (Driving While Impaired)	11/22/2015 4:17	P15065325	"(35.74435880871977, -78.63333310370804)"
71A	Traffic/DWI (Driving While Impaired)	11/22/2015 3:57	P15065320	"(35.89874802340769, -78.55842602576737)"
71A	Traffic/DWI (Driving While Impaired)	11/22/2015 2:32	P15065317	"(35.80189280832444, -78.56209005554769)"
71A	Traffic/DWI (Driving While Impaired)	11/21/2015 23:10	P15065296	"(35.74624831568948, -78.62221152612777)"
71A	Traffic/DWI (Driving While Impaired)	11/21/2015 21:08	P15065276	"(35.77141531024389, -78.58348585543904)"
71A	Traffic/DWI (Driving While Impaired)	11/21/2015 3:35	P15065130	
71A	Traffic/DWI (Driving While Impaired)	11/21/2015 2:55	P15065135	"(35.873318545416225, -78.68372108276736)"
